"PIXEL_ID","REEF_ID","REEF_NAME","LONG","LAT","COTS_1985","COTS_1986","COTS_1987","COTS_1988","COTS_1989","COTS_1990","COTS_1991","COTS_1992","COTS_1993","COTS_1994","COTS_1995","COTS_1996","COTS_1997","COTS_1998","COTS_1999","COTS_2000","COTS_2001","COTS_2002","COTS_2003","COTS_2004","COTS_2005","COTS_2006","COTS_2007","COTS_2008","COTS_2009","COTS_2010","COTS_2011","COTS_2012","COTS_2013","COTS_2014","COTS_2015","COTS_2016","COTS_2017"
14447,"21-462","U/N Reef (21-462)",151.98,-21.72,0.0538,0.1054,0.1439,NA,0.216,0.0782,0.3949,0.6551,NA,0.075,0.0767,0.3738,0.6916,0.1817,0.7665,7.701,2.4558,1.7882,0.2522,0.0256,NA,0.0174,0,0.0019,0,0.0023,0.0026,0.0044,0.0036,0,0.0098,0.0089,0.1522
14448,"21-462","U/N Reef (21-462)",151.99,-21.72,0.0549,0.1062,0.1446,NA,0.2175,0.0844,0.3956,0.6466,NA,0.0768,0.0782,0.3687,0.68,0.1799,0.7547,7.641,2.4283,1.7592,0.2498,0.0253,NA,0.0174,0,0.0019,0,0.0023,0.0026,0.0044,0.0037,0,0.0099,0.0086,0.1485
14449,"21-506","U/N Reef (21-506)",152.28,-21.72,0.041,0.076,0.1146,NA,0.1493,0.3834,0.3601,0.8222,NA,0.1368,0.0917,0.5088,0.8798,0.2547,1.0034,12.5107,4.5027,2.6504,0.3982,0.0197,NA,0.0264,0,0.0022,0,0.0028,0.0019,0.0055,0.0033,0,0.0142,0.003,0.1413
14450,"21-506","U/N Reef (21-506)",152.29,-21.72,0.0377,0.071,0.1076,NA,0.1384,0.3978,0.3568,0.855,NA,0.1405,0.0922,0.5281,0.9127,0.2644,1.0417,13.1516,4.8104,2.8006,0.4201,0.019,NA,0.0273,0,0.0022,0,0.0029,0.0019,0.0057,0.0033,0,0.0143,0.003,0.1455
14451,"21-505","Isobel Bennett Reef (21-505)",152.31,-21.72,0.0314,0.0621,0.0949,NA,0.1185,0.4265,0.35,0.919,NA,0.1472,0.0925,0.563,0.9721,0.2819,1.1116,14.445,5.4795,3.1161,0.4658,0.0175,NA,0.0293,0,0.0023,0,0.003,0.0018,0.006,0.0032,0,0.0144,0.0029,0.1536
14452,"21-505","Isobel Bennett Reef (21-505)",152.32,-21.72,0.0287,0.0588,0.0904,NA,0.111,0.4408,0.3465,0.9493,NA,0.15,0.0923,0.5776,0.9972,0.2893,1.1415,15.0849,5.8407,3.28,0.4893,0.0171,NA,0.0303,0,0.0023,0,0.0031,0.0017,0.0061,0.0032,0,0.0145,0.0028,0.1575
14453,"21-505","Isobel Bennett Reef (21-505)",152.33,-21.72,0.0266,0.057,0.0881,NA,0.1062,0.4549,0.3429,0.978,NA,0.1523,0.0919,0.5897,1.0183,0.2956,1.1672,15.7128,6.2203,3.4474,0.5133,0.0171,NA,0.0313,0,0.0023,0,0.0032,0.0017,0.0063,0.0032,0,0.0146,0.0028,0.1613
14454,"21-505","Isobel Bennett Reef (21-505)",152.34,-21.72,0.0252,0.057,0.0887,NA,0.1047,0.4688,0.3391,1.0048,NA,0.1542,0.0912,0.599,1.0346,0.3005,1.1878,16.3242,6.6191,3.6182,0.5375,0.0177,NA,0.0323,0,0.0024,0,0.0033,0.0017,0.0064,0.0031,0,0.0147,0.0027,0.1647
14455,"21-505","Isobel Bennett Reef (21-505)",152.35,-21.72,0.0243,0.0588,0.0924,NA,0.1061,0.4823,0.3353,1.0294,NA,0.1555,0.0902,0.6051,1.0457,0.3039,1.2026,16.9153,7.0386,3.7923,0.5621,0.0188,NA,0.0333,0,0.0024,0,0.0034,0.0016,0.0065,0.0031,0,0.0148,0.0027,0.1679
14456,"21-508","U/N Reef (21-508)",152.37,-21.72,0.0224,0.0647,0.106,NA,0.1122,0.508,0.3273,1.0711,NA,0.156,0.0874,0.6063,1.0497,0.3089,1.2125,18.227,7.948,4.1516,0.6191,0.0219,NA,0.035,0,0.0024,0,0.0035,0.0015,0.0066,0.003,0,0.015,0.0026,0.1732
14457,"21-562","Turner Reef (21-562)",152.54,-21.72,0.0753,0.1356,0.2113,NA,0.266,0.5899,0.214,1.046,NA,0.017,0.0042,0.0224,0.042,0.0123,0.1292,24.3421,20.4211,7.9166,1.0986,0.0566,NA,0.004,0,2e-04,0,3e-04,0.001,6e-04,0.0028,0,0.0154,0.0027,0.0467
14458,"21-562","Turner Reef (21-562)",152.55,-21.72,0.0823,0.1431,0.2225,NA,0.277,0.5849,0.2064,1.033,NA,0.0117,0.0011,0.0059,0.0111,0.0033,0.0943,24.4435,20.7242,7.9945,1.1078,0.0574,NA,0.0011,0,1e-04,0,1e-04,0.001,2e-04,0.0028,0,0.0153,0.0027,0.0392
14459,"21-562","Turner Reef (21-562)",152.56,-21.72,0.0891,0.1504,0.2334,NA,0.2869,0.5793,0.1986,1.0199,NA,0.0104,3e-04,0.0017,0.0033,0.001,0.0854,24.4693,20.8013,8.0142,1.1102,0.0576,NA,3e-04,0,0,0,0,9e-04,1e-04,0.0029,0,0.0152,0.0028,0.0372
14460,"21-562","Turner Reef (21-562)",152.57,-21.72,0.0958,0.1573,0.2439,NA,0.2955,0.573,0.1909,1.0067,NA,0.013,0.0019,0.0098,0.0187,0.0055,0.1031,24.4188,20.6503,7.9767,1.1058,0.0573,NA,0.0017,0,1e-04,0,1e-04,9e-04,3e-04,0.0029,0,0.0151,0.0028,0.0414
14461,"21-314","U/N Reef (21-314)",149.46,-21.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14462,"21-352","Williams Shoal (21-352)",149.64,-21.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14463,"21-349b","Emily Patches (21-349b)",149.85,-21.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,1.546,NA,0.1915,NA,NA,NA,NA,NA,NA,NA
14464,"21-349a","Smythe Shoals (21-349a)",149.86,-21.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,1.5455,NA,0.1574,NA,0,NA,0,NA,NA,NA
